Concurso;Data Sorteio;1 Dezena;2 Dezena;3 Dezena;4 Dezena;5 Dezena;Arrecadacao Total;Ganhadores Quina;Cidade;Rateio Quina;Ganhadores Quadra;Rateio Quadra;Ganhadores Terno;Rateio Terno;Ganhadores Duque;Rateio Duque;Acumulado;Valor Acumulado;Estimativa Premio;Valor Acumulado Sorteio Especial São João
1;13/03/1994;025;045;060;076;079;0,00;3;;75.731.225,00;127;1.788.927,00;7030;42.982,00;0;0,00;NAO;0,00;0,00;0,00
2;17/03/1994;013;030;058;063;064;0,00;1;;118.499.397,00;105;1.128.565,00;4861;32.422,00;0;0,00;NAO;0,00;0,00;0,00
3;20/03/1994;005;015;032;033;048;0,00;1;;154.244.270,00;232;664.846,00;10196;20.120,00;0;0,00;NAO;0,00;0,00;0,00
4;24/03/1994;027;057;060;061;077;0,00;1;;124.185.246,00;78;1.592.119,00;4033;40.954,00;0;0,00;NAO;0,00;0,00;0,00
5;27/03/1994;019;044;053;054;071;0,00;1;;147.595.715,00;137;1.077.341,00;5338;36.774,00;0;0,00;NAO;0,00;0,00;0,00
6;03/04/1994;004;045;054;065;067;0,00;1;;165.397.879,00;157;1.053.490,00;7286;30.192,00;0;0,00;NAO;0,00;0,00;0,00
7;07/04/1994;009;021;037;042;068;0,00;2;;77.956.048,00;153;1.019.033,00;5621;36.891,00;0;0,00;NAO;0,00;0,00;0,00
8;10/04/1994;005;016;026;028;062;0,00;0;;0,00;178;1.208.140,00;8290;34.501,00;0;0,00;SIM;215.049.006,00;215.049.006,00;0,00
9;14/04/1994;004;015;044;064;073;0,00;0;;0,00;160;1.486.217,00;7584;41.701,00;0;0,00;SIM;452.843.743,00;452.843.743,00;0,00
10;17/04/1994;020;032;049;054;062;0,00;0;;0,00;117;2.414.361,00;6089;61.701,00;0;0,00;SIM;735.323.913,00;735.323.913,00;0,00
11;24/04/1994;017;033;052;060;076;0,00;3;;417.312.858,00;265;1.949.489,00;12691;54.140,00;0;0,00;NAO;0,00;0,00;0,00
12;28/04/1994;001;028;056;065;079;0,00;1;;184.669.459,00;139;1.328.557,00;5837;42.078,00;0;0,00;NAO;0,00;0,00;0,00
13;01/05/1994;013;033;038;039;072;0,00;0;;0,00;115;2.006.018,00;7233;42.419,00;0;0,00;SIM;230.692.109,00;230.692.109,00;0,00
14;05/05/1994;044;052;060;064;068;0,00;1;;525.124.015,00;106;2.777.659,00;4708;83.176,00;0;0,00;NAO;0,00;0,00;0,00
15;08/05/1994;002;025;054;063;066;0,00;1;;277.319.457,00;98;2.829.790,00;5358;68.838,00;0;0,00;NAO;0,00;0,00;0,00
16;12/05/1994;011;024;063;064;069;0,00;2;;110.528.738,00;109;2.028.050,00;4883;60.210,00;0;0,00;NAO;0,00;0,00;0,00
17;15/05/1994;001;014;026;034;072;0,00;2;;133.857.239,00;104;2.574.178,00;5667;62.831,00;0;0,00;NAO;0,00;0,00;0,00
18;19/05/1994;006;029;040;063;072;0,00;1;;212.643.153,00;53;4.012.135,00;3028;93.400,00;0;0,00;NAO;0,00;0,00;0,00
19;22/05/1994;012;021;042;060;066;0,00;1;;251.357.051,00;79;3.181.735,00;4768;70.114,00;0;0,00;NAO;0,00;0,00;0,00
20;26/05/1994;013;016;031;039;070;0,00;1;;213.833.570,00;110;1.943.942,00;4906;57.969,00;0;0,00;NAO;0,00;0,00;0,00
21;29/05/1994;005;015;038;048;077;0,00;0;;0,00;175;1.454.269,00;7632;44.351,00;0;0,00;SIM;254.496.966,00;254.496.966,00;0,00
22;05/06/1994;007;009;011;025;075;0,00;4;;174.093.581,00;458;964.798,00;17646;33.305,00;0;0,00;NAO;0,00;0,00;0,00
23;09/06/1994;001;015;063;072;077;0,00;0;;0,00;102;2.851.831,00;4288;90.223,00;0;0,00;SIM;290.886.677,00;290.886.677,00;0,00
24;12/06/1994;009;044;057;067;068;0,00;0;;0,00;85;4.746.213,00;5511;97.362,00;0;0,00;SIM;694.314.777,00;694.314.777,00;0,00
25;16/06/1994;002;029;046;069;076;0,00;2;;579.215.957,00;174;2.667.340,00;7175;86.031,00;0;0,00;NAO;0,00;0,00;0,00
26;19/06/1994;010;015;022;055;079;0,00;1;;367.630.872,00;186;1.976.510,00;7670;63.748,00;0;0,00;NAO;0,00;0,00;0,00
27;23/06/1994;005;036;039;070;078;0,00;0;;0,00;76;3.679.148,00;3663;101.525,00;0;0,00;SIM;279.615.239,00;279.615.239,00;0,00
28;26/06/1994;008;026;028;029;030;0,00;2;;317.283.646,00;318;1.116.201,00;7677;61.494,00;0;0,00;NAO;0,00;0,00;0,00
29;03/07/1994;020;023;031;035;076;0,00;0;;0,00;87;1.702,79;4456;44,22;0;0,00;SIM;148.142,89;148.142,89;0,00
30;07/07/1994;012;013;014;056;060;0,00;1;;271.366,73;190;648,55;6909;23,73;0;0,00;NAO;0,00;0,00;0,00
31;10/07/1994;043;051;054;069;073;0,00;1;;140.707,31;96;1.465,70;4004;46,75;0;0,00;NAO;0,00;0,00;0,00
32;14/07/1994;009;023;031;060;080;0,00;0;;0,00;106;1.087,92;5217;29,40;0;0,00;SIM;115.320,07;115.320,07;0,00
33;18/07/1994;021;031;044;065;074;0,00;0;;0,00;58;2.732,59;3743;56,32;0;0,00;SIM;273.810,56;273.810,56;0,00
34;21/07/1994;017;045;064;067;069;0,00;0;;0,00;172;908,40;7558;27,50;0;0,00;SIM;430.055,17;430.055,17;0,00
35;24/07/1994;044;052;054;056;060;0,00;2;;322.767,41;278;775,11;7007;40,90;0;0,00;NAO;0,00;0,00;0,00
36;28/07/1994;042;056;062;065;079;0,00;0;;0,00;136;1.017,84;5188;35,50;0;0,00;SIM;138.426,04;138.426,04;0,00
37;31/07/1994;009;026;031;036;065;0,00;0;;0,00;118;1.663,28;7538;34,64;0;0,00;SIM;0,00;0,00;0,00
38;04/08/1994;011;012;057;059;069;0,00;1;;572.577,33;179;1.328,96;9813;32,24;0;0,00;NAO;0,00;0,00;0,00
39;07/08/1994;005;007;021;028;070;0,00;3;;66.720,22;321;623,56;13197;20,17;0;0,00;NAO;0,00;0,00;0,00
40;11/08/1994;002;018;031;038;049;0,00;2;;88.095,96;180;978,84;7961;29,44;0;0,00;NAO;0,00;0,00;0,00
41;14/08/1994;005;014;031;041;049;0,00;5; - BA;40.008,93;292;685,09;10350;25,71;0;0,00;NAO;0,00;0,00;0,00
42;18/08/1994;015;033;039;076;078;0,00;1;;176.147,02;168;1.048,49;7021;33,37;0;0,00;NAO;0,00;0,00;0,00
43;21/08/1994;005;018;021;041;071;0,00;1;;216.656,42;204;1.062,04;10453;27,57;0;0,00;NAO;0,00;0,00;0,00
44;25/08/1994;002;007;057;059;076;0,00;2;;96.260,30;162;1.188,40;8076;31,71;0;0,00;NAO;0,00;0,00;0,00
45;28/08/1994;002;003;027;064;065;0,00;2;;109.599,02;194;1.129,89;9899;29,45;0;0,00;NAO;0,00;0,00;0,00
46;01/09/1994;030;049;072;078;080;0,00;1;;191.015,19;140;1.364,40;6625;38,35;0;0,00;NAO;0,00;0,00;0,00
47;04/09/1994;010;018;022;031;073;0,00;1;;224.601,33;213;1.054,47;10178;29,36;0;0,00;NAO;0,00;0,00;0,00
48;11/09/1994;020;039;072;073;076;0,00;0;;0,00;98;3.074,54;6631;60,44;0;0,00;SIM;301.304,74;301.304,74;0,00
49;15/09/1994;010;019;039;052;066;0,00;1;;585.910,74;268;1.061,96;13716;27,61;0;0,00;NAO;0,00;0,00;0,00
50;18/09/1994;004;010;015;042;045;0,00;6;;40.699,71;460;530,86;17759;18,30;0;0,00;NAO;0,00;0,00;0,00
51;22/09/1994;002;020;026;042;079;0,00;2;;106.595,79;211;1.010,38;8524;33,27;0;0,00;NAO;0,00;0,00;0,00
52;25/09/1994;006;039;041;061;064;0,00;0;;0,00;117;2.049,16;6691;47,67;0;0,00;SIM;239.750,80;239.750,80;0,00
53;29/09/1994;040;042;048;064;069;0,00;2;;262.624,99;210;1.359,52;9140;41,55;0;0,00;NAO;0,00;0,00;0,00
54;02/10/1994;013;021;032;033;066;0,00;2;;123.112,24;234;1.052,24;10666;30,71;0;0,00;NAO;0,00;0,00;0,00
55;09/10/1994;012;014;060;066;068;0,00;1;;318.095,40;222;1.432,86;12224;34,62;0;0,00;NAO;0,00;0,00;0,00
56;16/10/1994;005;018;024;043;048;0,00;4;;80.964,54;780;415,20;24568;17,53;0;0,00;NAO;0,00;0,00;0,00
57;17/10/1994;031;049;052;063;071;0,00;0;;0,00;114;1.855,54;5761;48,84;0;0,00;SIM;211.531,64;211.531,64;0,00
58;23/10/1994;034;041;050;067;077;0,00;0;;0,00;169;1.766,66;8292;47,89;0;0,00;SIM;510.096,61;510.096,61;0,00
59;27/10/1994;020;035;037;042;071;0,00;0;;0,00;509;1.856,00;11231;45,94;0;0,00;SIM;897.999,37;897.999,37;0,00
60;30/10/1994;019;025;032;068;071;0,00;2;;656.281,53;439;944,34;16495;33,43;0;0,00;NAO;0,00;0,00;0,00
61;06/11/1994;027;054;063;071;077;0,00;1;;350.253,13;241;1.453,33;12492;37,29;0;0,00;NAO;0,00;0,00;0,00
62;10/11/1994;003;012;024;036;040;0,00;6;;39.468,72;431;549,45;15279;20,62;0;0,00;NAO;0,00;0,00;0,00
63;13/11/1994;011;040;050;074;078;0,00;1;;280.187,69;141;1.987,15;7948;46,89;0;0,00;NAO;0,00;0,00;0,00
64;20/11/1994;025;043;052;059;075;0,00;0;;0,00;311;1.032,73;12524;34,11;0;0,00;SIM;321.179,14;321.179,14;0,00
65;24/11/1994;003;025;060;062;075;0,00;1;;655.234,66;271;1.232,68;11166;39,80;0;0,00;NAO;0,00;0,00;0,00
66;27/11/1994;066;073;075;076;079;0,00;3;;94.678,83;335;847,87;9001;41,97;0;0,00;NAO;0,00;0,00;0,00
67;01/12/1994;005;023;036;067;070;0,00;1;;246.640,35;236;1.045,09;11156;29,41;0;0,00;NAO;0,00;0,00;0,00
68;04/12/1994;007;052;068;069;076;0,00;1;;293.047,58;234;1.252,34;11636;33,50;0;0,00;NAO;0,00;0,00;0,00
69;08/12/1994;016;061;065;072;078;0,00;0;;0,00;208;1.212,33;9342;35,91;0;0,00;SIM;252.164,43;252.164,43;0,00
70;11/12/1994;005;025;052;057;062;0,00;1;;575.634,84;379;853,49;15129;28,44;0;0,00;NAO;0,00;0,00;0,00
71;15/12/1994;027;055;066;073;075;0,00;1;;252.175,88;191;1.320,30;11031;30,41;0;0,00;NAO;0,00;0,00;0,00
72;18/12/1994;012;023;039;054;072;0,00;0;;0,00;330;928,07;12806;31,82;0;0,00;SIM;306.262,58;306.262,58;0,00
73;26/12/1994;006;017;049;065;070;0,00;5;;161.640,02;450;1.115,42;20328;32,85;0;0,00;NAO;0,00;0,00;0,00
74;02/01/1995;041;047;049;070;074;0,00;2;;202.435,41;267;1.516,37;12156;44,41;0;0,00;NAO;0,00;0,00;0,00
75;05/01/1995;004;027;046;053;055;0,00;0;;0,00;191;1.268,65;10721;30,14;0;0,00;SIM;242.311,98;242.311,98;0,00
